k	LowerCILambda	UpperCILambda
426	386.824	467.736
427	387.777	468.783
428	388.729	469.83
429	389.682	470.878
430	390.635	471.925
431	391.588	472.972
432	392.54	474.019
433	393.493	475.066
434	394.446	476.113
435	395.399	477.16
436	396.352	478.207
437	397.306	479.254
438	398.259	480.301
439	399.212	481.348
440	400.165	482.395
441	401.118	483.441
442	402.072	484.488
443	403.025	485.534
444	403.979	486.581
445	404.932	487.627
446	405.886	488.674
447	406.84	489.72
448	407.793	490.766
449	408.747	491.813
450	409.701	492.859
451	410.655	493.905
452	411.609	494.951
453	412.563	495.997
454	413.517	497.043
455	414.471	498.089
456	415.425	499.135
457	416.379	500.181
458	417.333	501.227
459	418.287	502.272
460	419.242	503.318
461	420.196	504.364
462	421.15	505.409
463	422.105	506.455
464	423.059	507.5
465	424.014	508.546
466	424.968	509.591
467	425.923	510.637
468	426.878	511.682
469	427.833	512.727
470	428.787	513.772
471	429.742	514.818
472	430.697	515.863
473	431.652	516.908
474	432.607	517.953
475	433.562	518.998
476	434.517	520.043
477	435.472	521.088
478	436.427	522.132
479	437.383	523.177
480	438.338	524.222
481	439.293	525.267
482	440.249	526.311
483	441.204	527.356
484	442.159	528.4
485	443.115	529.445
486	444.07	530.489
487	445.026	531.534
488	445.982	532.578
489	446.937	533.622
490	447.893	534.667
491	448.849	535.711
492	449.805	536.755
493	450.76	537.799
494	451.716	538.843
495	452.672	539.887
496	453.628	540.931
497	454.584	541.975
498	455.54	543.019
499	456.497	544.063
500	457.453	545.107
501	458.409	546.151
502	459.365	547.195
503	460.322	548.238
504	461.278	549.282
505	462.234	550.326
506	463.191	551.369
507	464.147	552.413
508	465.104	553.456
509	466.06	554.5
510	467.017	555.543
511	467.973	556.586
512	468.93	557.63
513	469.887	558.673
514	470.844	559.716
515	471.8	560.759
516	472.757	561.802
517	473.714	562.846
518	474.671	563.889
519	475.628	564.932
520	476.585	565.975
521	477.542	567.018
522	478.499	568.06
523	479.456	569.103
524	480.414	570.146
525	481.371	571.189
526	482.328	572.232
527	483.285	573.274
528	484.243	574.317
529	485.2	575.36
530	486.158	576.402
531	487.115	577.445
532	488.073	578.487
533	489.03	579.53
534	489.988	580.572
535	490.945	581.614
536	491.903	582.657
537	492.861	583.699
538	493.818	584.741
539	494.776	585.784
540	495.734	586.826
541	496.692	587.868
542	497.65	588.91
543	498.608	589.952
544	499.566	590.994
545	500.524	592.036
546	501.482	593.078
547	502.44	594.12
548	503.398	595.162
549	504.356	596.204
550	505.314	597.245
551	506.273	598.287
552	507.231	599.329
553	508.189	600.37
554	509.148	601.412
555	510.106	602.454
556	511.065	603.495
557	512.023	604.537
558	512.982	605.578
559	513.94	606.62
560	514.899	607.661
561	515.857	608.703
562	516.816	609.744
563	517.775	610.785
564	518.733	611.826
565	519.692	612.868
566	520.651	613.909
567	521.61	614.95
568	522.569	615.991
569	523.528	617.032
570	524.487	618.073
571	525.446	619.114
572	526.405	620.155
573	527.364	621.196
574	528.323	622.237
575	529.282	623.278
576	530.241	624.319
577	531.2	625.36
578	532.159	626.4
579	533.119	627.441
580	534.078	628.482
581	535.037	629.522
582	535.997	630.563
583	536.956	631.604
584	537.916	632.644
585	538.875	633.685
586	539.835	634.725
587	540.794	635.766
588	541.754	636.806
589	542.713	637.846
590	543.673	638.887
591	544.633	639.927
592	545.592	640.967
593	546.552	642.008
594	547.512	643.048
595	548.472	644.088
596	549.432	645.128
597	550.392	646.168
598	551.351	647.208
599	552.311	648.248
600	553.271	649.288
601	554.231	650.328
602	555.191	651.368
603	556.152	652.408
604	557.112	653.448
605	558.072	654.488
606	559.032	655.528
607	559.992	656.568
608	560.952	657.607
609	561.913	658.647
610	562.873	659.687
611	563.833	660.726
612	564.794	661.766
613	565.754	662.806
614	566.715	663.845
615	567.675	664.885
616	568.636	665.924
617	569.596	666.964
618	570.557	668.003
619	571.517	669.042
620	572.478	670.082
621	573.439	671.121
622	574.399	672.16
623	575.36	673.2
624	576.321	674.239
625	577.282	675.278
626	578.243	676.317
627	579.203	677.356
628	580.164	678.395
629	581.125	679.435
630	582.086	680.474
631	583.047	681.513
632	584.008	682.552
633	584.969	683.591
634	585.93	684.629
635	586.891	685.668
636	587.853	686.707
637	588.814	687.746
638	589.775	688.785
639	590.736	689.824
640	591.697	690.862
641	592.659	691.901
642	593.62	692.94
643	594.581	693.978
644	595.543	695.017
645	596.504	696.056
646	597.466	697.094
647	598.427	698.133
648	599.389	699.171
649	600.35	700.21
650	601.312	701.248
651	602.273	702.287
652	603.235	703.325
653	604.197	704.363
654	605.158	705.402
655	606.12	706.44
656	607.082	707.478
657	608.043	708.516
658	609.005	709.555
659	609.967	710.593
660	610.929	711.631
661	611.891	712.669
662	612.853	713.707
663	613.815	714.745
664	614.777	715.783
665	615.739	716.821
666	616.701	717.859
667	617.663	718.897
668	618.625	719.935
669	619.587	720.973
670	620.549	722.011
671	621.511	723.049
672	622.473	724.086
673	623.436	725.124
674	624.398	726.162
675	625.36	727.2
676	626.322	728.237
677	627.285	729.275
678	628.247	730.313
679	629.21	731.35
680	630.172	732.388
681	631.134	733.425
682	632.097	734.463
683	633.059	735.5
684	634.022	736.538
685	634.985	737.575
686	635.947	738.613
687	636.91	739.65
688	637.872	740.688
689	638.835	741.725
690	639.798	742.762
691	640.76	743.799
692	641.723	744.837
693	642.686	745.874
694	643.649	746.911
695	644.612	747.948
696	645.574	748.985
697	646.537	750.023
698	647.5	751.06
699	648.463	752.097
700	649.426	753.134
701	650.389	754.171
702	651.352	755.208
703	652.315	756.245
704	653.278	757.282
705	654.241	758.319
706	655.204	759.355
707	656.168	760.392
708	657.131	761.429
709	658.094	762.466
710	659.057	763.503
711	660.02	764.539
712	660.984	765.576
713	661.947	766.613
714	662.91	767.65
715	663.874	768.686
716	664.837	769.723
717	665.8	770.759
718	666.764	771.796
719	667.727	772.833
720	668.691	773.869
721	669.654	774.906
722	670.618	775.942
723	671.581	776.978
724	672.545	778.015
725	673.509	779.051
726	674.472	780.088
727	675.436	781.124
728	676.4	782.16
729	677.363	783.197
730	678.327	784.233
731	679.291	785.269
732	680.254	786.305
733	681.218	787.342
734	682.182	788.378
735	683.146	789.414
736	684.11	790.45
737	685.074	791.486
738	686.038	792.522
739	687.002	793.558
740	687.966	794.594
741	688.93	795.63
742	689.894	796.666
743	690.858	797.702
744	691.822	798.738
745	692.786	799.774
746	693.75	800.81
747	694.714	801.846
748	695.678	802.882
749	696.642	803.917
750	697.607	804.953
751	698.571	805.989
752	699.535	807.025
753	700.499	808.06
754	701.464	809.096
755	702.428	810.132
756	703.392	811.167
757	704.357	812.203
758	705.321	813.239
759	706.286	814.274
760	707.25	815.31
761	708.215	816.345
762	709.179	817.381
763	710.144	818.416
764	711.108	819.452
765	712.073	820.487
766	713.037	821.523
767	714.002	822.558
768	714.967	823.593
769	715.931	824.629
770	716.896	825.664
771	717.861	826.699
772	718.825	827.734
773	719.79	828.77
774	720.755	829.805
775	721.72	830.84
776	722.685	831.875
777	723.649	832.911
778	724.614	833.946
779	725.579	834.981
780	726.544	836.016
781	727.509	837.051
782	728.474	838.086
783	729.439	839.121
784	730.404	840.156
785	731.369	841.191
786	732.334	842.226
787	733.299	843.261
788	734.264	844.296
789	735.229	845.331
790	736.194	846.365
791	737.16	847.4
792	738.125	848.435
793	739.09	849.47
794	740.055	850.505
795	741.02	851.539
796	741.986	852.574
797	742.951	853.609
798	743.916	854.644
799	744.882	855.678
800	745.847	856.713
801	746.812	857.748
802	747.778	858.782
803	748.743	859.817
804	749.709	860.851
805	750.674	861.886
806	751.639	862.92
807	752.605	863.955
808	753.571	864.989
809	754.536	866.024
810	755.502	867.058
811	756.467	868.093
812	757.433	869.127
813	758.398	870.161
814	759.364	871.196
815	760.33	872.23
816	761.295	873.264
817	762.261	874.299
818	763.227	875.333
819	764.193	876.367
820	765.158	877.401
821	766.124	878.436
822	767.09	879.47
823	768.056	880.504
824	769.022	881.538
825	769.988	882.572
826	770.954	883.606
827	771.919	884.64
828	772.885	885.674
829	773.851	886.708
830	774.817	887.742
831	775.783	888.776
832	776.749	889.81
833	777.715	890.844
834	778.682	891.878
835	779.648	892.912
836	780.614	893.946
837	781.58	894.98
838	782.546	896.014
839	783.512	897.048
840	784.478	898.082
841	785.445	899.115
842	786.411	900.149
843	787.377	901.183
844	788.343	902.217
845	789.31	903.25
846	790.276	904.284
847	791.242	905.318
848	792.209	906.351
849	793.175	907.385
850	794.141	908.419
851	795.108	909.452
852	796.074	910.486
853	797.041	911.519
854	798.007	912.553
855	798.974	913.586
856	799.94	914.62
857	800.907	915.653
858	801.873	916.687
859	802.84	917.72
860	803.806	918.754
861	804.773	919.787
862	805.74	920.82
863	806.706	921.854
864	807.673	922.887
865	808.64	923.92
866	809.606	924.954
867	810.573	925.987
868	811.54	927.02
869	812.506	928.053
870	813.473	929.087
871	814.44	930.12
872	815.407	931.153
873	816.374	932.186
874	817.34	933.219
875	818.307	934.253
876	819.274	935.286
877	820.241	936.319
878	821.208	937.352
879	822.175	938.385
880	823.142	939.418
881	824.109	940.451
882	825.076	941.484
883	826.043	942.517
884	827.01	943.55
885	827.977	944.583
886	828.944	945.616
887	829.911	946.649
888	830.878	947.681
889	831.846	948.714
890	832.813	949.747
891	833.78	950.78
892	834.747	951.813
893	835.714	952.846
894	836.681	953.878
895	837.649	954.911
896	838.616	955.944
897	839.583	956.977
898	840.551	958.009
899	841.518	959.042
900	842.485	960.075
901	843.453	961.107
902	844.42	962.14
903	845.387	963.173
904	846.355	964.205
905	847.322	965.238
906	848.29	966.27
907	849.257	967.303
908	850.225	968.335
909	851.192	969.368
910	852.16	970.4
911	853.127	971.433
912	854.095	972.465
913	855.062	973.498
914	856.03	974.53
915	856.997	975.562
916	857.965	976.595
917	858.933	977.627
918	859.9	978.66
919	860.868	979.692
920	861.836	980.724
921	862.803	981.756
922	863.771	982.789
923	864.739	983.821
924	865.707	984.853
925	866.674	985.885
926	867.642	986.918
927	868.61	987.95
928	869.578	988.982
929	870.546	990.014
930	871.514	991.046
931	872.481	992.078
932	873.449	993.111
933	874.417	994.143
934	875.385	995.175
935	876.353	996.207
936	877.321	997.239
937	878.289	998.271
938	879.257	999.303
939	880.225	1000.33
940	881.193	1001.37
941	882.161	1002.4
942	883.129	1003.43
943	884.097	1004.46
944	885.065	1005.49
945	886.034	1006.53
946	887.002	1007.56
947	887.97	1008.59
948	888.938	1009.62
949	889.906	1010.65
950	890.874	1011.69
951	891.843	1012.72
952	892.811	1013.75
953	893.779	1014.78
954	894.747	1015.81
955	895.716	1016.84
956	896.684	1017.88
957	897.652	1018.91
958	898.621	1019.94
959	899.589	1020.97
960	900.557	1022.
961	901.526	1023.03
962	902.494	1024.07
963	903.463	1025.1
964	904.431	1026.13
965	905.4	1027.16
966	906.368	1028.19
967	907.337	1029.22
968	908.305	1030.25
969	909.274	1031.29
970	910.242	1032.32
971	911.211	1033.35
972	912.179	1034.38
973	913.148	1035.41
974	914.116	1036.44
975	915.085	1037.47
976	916.054	1038.51
977	917.022	1039.54
978	917.991	1040.57
979	918.96	1041.6
980	919.928	1042.63
981	920.897	1043.66
982	921.866	1044.69
983	922.835	1045.73
984	923.803	1046.76
985	924.772	1047.79
986	925.741	1048.82
987	926.71	1049.85
988	927.678	1050.88
989	928.647	1051.91
990	929.616	1052.94
991	930.585	1053.97
992	931.554	1055.01
993	932.523	1056.04
994	933.492	1057.07
995	934.461	1058.1
996	935.43	1059.13
997	936.399	1060.16
998	937.368	1061.19
999	938.337	1062.22
1000	939.306	1063.25
